Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2017-12-14,Clear,Clear,Rain,Clear,NA,NA,Light,NA,3,0,2,2,13,TRUE
2017-12-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,2,12,TRUE
2017-12-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2017-12-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2017-12-18,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,0,4,3,4,TRUE
2017-12-19,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,2,2,2,19,TRUE
2017-12-20,Fog,Fog,Clear,Clear,Severe,Severe,NA,NA,0,2,2,2,13,TRUE
2017-12-21,Clear,Fog,Fog,Clear,NA,Severe,Severe,NA,0,0,4,2,8,TRUE
2017-12-22,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,2,2,2,12,TRUE
2017-12-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,3,0,3,TRUE
2017-12-24,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,0,0,0,0,FALSE
2017-12-25,Clear,Fog,Fog,Clear,NA,Severe,Moderate,NA,0,0,4,0,1,TRUE
2017-12-26,Clear,Rain,Clear,Clear,NA,Light,NA,NA,0,0,2,2,9,TRUE
2017-12-27,Clear,Clear,Snow,Rain,NA,NA,Light,Light,3,2,0,2,9,TRUE
2017-12-28,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,3,2,3,6,TRUE
2017-12-29,Clear,Clear,Fog,Clear,NA,NA,Severe,NA,0,2,2,2,8,TRUE
2017-12-30,Clear,Clear,Snow,Clear,NA,NA,Light,NA,0,0,0,0,0,FALSE
2017-12-31,Clear,Snow,Clear,Clear,NA,Light,NA,NA,2,0,0,0,1,TRUE
2018-01-01,Rain,Fog,Clear,Rain,Light,Moderate,NA,Light,0,0,0,0,0,FALSE
2018-01-02,Clear,Rain,Rain,Rain,NA,Light,Light,Light,0,0,2,2,13,TRUE
2018-01-03,Rain,Rain,Rain,Rain,Light,Light,Light,Light,3,3,0,2,8,TRUE
2018-01-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,2,6,TRUE
2018-01-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,10,TRUE
2018-01-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,0,0,2,TRUE
2018-01-07,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,FALSE
2018-01-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,0,6,TRUE
2018-01-09,Rain,Clear,Rain,Precipitation,Light,NA,Light,UNK,0,0,2,3,8,TRUE
2018-01-10,Clear,Clear,Rain,Rain,NA,NA,Light,Light,2,0,2,2,5,TRUE
2018-01-11,Rain,Snow,Snow,Clear,Light,Light,Light,NA,2,2,2,2,11,TRUE
2018-01-12,Clear,Clear,Rain,Rain,NA,NA,Light,Light,2,2,2,2,8,TRUE
2018-01-13,Clear,Rain,Clear,Clear,NA,Light,NA,NA,0,0,0,0,0,FALSE
2018-01-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2018-01-15,Rain,Clear,Clear,Rain,Light,NA,NA,Light,0,0,3,2,2,TRUE
2018-01-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,3,0,7,TRUE
2018-01-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,3,TRUE
2018-01-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,3,8,TRUE
2018-01-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,2,3,4,TRUE
2018-01-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-01-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2018-01-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,4,9,TRUE
2018-01-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,4,2,17,TRUE
2018-01-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,3,3,2,12,TRUE
2018-01-25,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,2,2,3,20,TRUE
2018-01-26,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,2,2,9,TRUE
2018-01-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-01-28,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,2,0,0,1,TRUE
2018-01-29,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,2,3,TRUE
2018-01-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,2,2,3,11,TRUE
2018-01-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,2,2,9,TRUE
2018-02-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,6,TRUE
2018-02-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,7,TRUE
2018-02-03,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,2,0,1,TRUE
2018-02-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,0,1,TRUE
2018-02-05,Clear,Clear,Fog,Clear,NA,NA,Severe,NA,0,0,2,2,10,TRUE
2018-02-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,4,2,18,TRUE
2018-02-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,2,3,4,10,TRUE
2018-02-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,2,13,TRUE
2018-02-09,Clear,Rain,Clear,Clear,NA,Light,NA,NA,2,3,2,2,18,TRUE
2018-02-10,Rain,Clear,Snow,Rain,Light,NA,Light,Light,2,0,0,0,2,TRUE
2018-02-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,2,TRUE
2018-02-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,3,8,TRUE
2018-02-13,Clear,Rain,Clear,Clear,NA,Light,NA,NA,0,2,2,2,12,TRUE
2018-02-14,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,2,2,7,TRUE
2018-02-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,2,10,TRUE
2018-02-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,4,2,11,TRUE
2018-02-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,1,TRUE
2018-02-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-02-19,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,3,4,2,8,TRUE
2018-02-20,Rain,Rain,Clear,Clear,Light,Light,NA,NA,4,2,2,4,14,TRUE
2018-02-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,4,TRUE
2018-02-22,Rain,Rain,Rain,Clear,Light,Light,Light,NA,0,0,2,3,8,TRUE
2018-02-23,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,2,3,2,10,TRUE
2018-02-24,Rain,Rain,Rain,Clear,Light,Light,Light,NA,0,0,0,0,0,FALSE
2018-02-25,Rain,Clear,Clear,Clear,Light,NA,NA,NA,2,2,0,0,4,TRUE
2018-02-26,Clear,Clear,Rain,Rain,NA,NA,Moderate,Light,3,3,2,2,16,TRUE
2018-02-27,Clear,Clear,Clear,Rain,NA,NA,NA,Light,2,2,2,2,11,TRUE
2018-02-28,Rain,Clear,Clear,Clear,Light,NA,NA,NA,2,0,2,3,11,TRUE
2018-03-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,1,TRUE
2018-03-02,Clear,Fog,Fog,Clear,NA,Moderate,Moderate,NA,4,2,2,0,7,TRUE
2018-03-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,4,0,2,TRUE
2018-03-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2018-03-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,17,TRUE
2018-03-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,12,TRUE
2018-03-07,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,3,2,2,19,TRUE
2018-03-08,Clear,Clear,Clear,Fog,NA,NA,NA,Moderate,0,0,0,2,1,TRUE
2018-03-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,2,5,TRUE
2018-03-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,2,2,0,4,TRUE
2018-03-11,Clear,Rain,Clear,Rain,NA,Light,NA,Light,2,2,0,0,3,TRUE
2018-03-12,Clear,Clear,Rain,Rain,NA,NA,Light,Light,2,0,2,0,4,TRUE
2018-03-13,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,4,2,2,9,TRUE
2018-03-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,3,3,2,10,TRUE
2018-03-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,4,2,2,12,TRUE
2018-03-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,3,0,2,4,TRUE
2018-03-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,2,3,5,TRUE
2018-03-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,0,2,TRUE
2018-03-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,4,3,2,11,TRUE
2018-03-20,Clear,Clear,Fog,Fog,NA,NA,Moderate,Moderate,2,3,2,2,10,TRUE
2018-03-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,14,TRUE
2018-03-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,2,16,TRUE
2018-03-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,8,TRUE
2018-03-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-03-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,0,0,1,TRUE
2018-03-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,0,9,TRUE
2018-03-27,Rain,Rain,Rain,Clear,Light,Light,Light,NA,2,0,2,2,8,TRUE
2018-03-28,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,0,2,3,2,TRUE
2018-03-29,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,2,2,0,7,TRUE
2018-03-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,1,TRUE
2018-03-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-04-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,2,3,TRUE
2018-04-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,9,TRUE
2018-04-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,2,2,9,TRUE
2018-04-04,Clear,Clear,Clear,Precipitation,NA,NA,NA,UNK,0,0,2,2,15,TRUE
2018-04-05,Clear,Clear,Rain,Rain,NA,NA,Light,Light,2,0,2,2,13,TRUE
2018-04-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2018-04-07,Clear,Snow,Snow,Clear,NA,Light,Light,NA,0,0,0,2,1,TRUE
2018-04-08,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,0,0,0,0,FALSE
2018-04-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,10,TRUE
2018-04-10,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,2,3,2,4,TRUE
2018-04-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,2,8,TRUE
2018-04-12,Clear,Cold,Clear,Clear,NA,Severe,NA,NA,3,2,0,2,5,TRUE
2018-04-13,Cold,Clear,Clear,Rain,Severe,NA,NA,Light,0,2,2,2,9,TRUE
2018-04-14,Clear,Rain,Clear,Storm,NA,Light,NA,Severe,0,0,0,4,2,TRUE
2018-04-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2018-04-16,Rain,Clear,Clear,Clear,Moderate,NA,NA,NA,0,4,2,2,4,TRUE
2018-04-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,12,TRUE
2018-04-18,Clear,Cold,Clear,Clear,NA,Severe,NA,NA,0,0,0,2,3,TRUE
2018-04-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,3,2,2,15,TRUE
2018-04-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,9,TRUE
2018-04-21,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2018-04-22,Clear,Rain,Rain,Clear,NA,Light,Light,NA,2,4,0,0,2,TRUE
2018-04-23,Rain,Rain,Rain,Rain,Light,Moderate,Light,Light,0,2,2,2,15,TRUE
2018-04-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,2,13,TRUE
2018-04-25,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,2,2,2,16,TRUE
2018-04-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2018-04-27,Rain,Rain,Rain,Rain,Moderate,Light,Light,Moderate,0,0,0,2,5,TRUE
2018-04-28,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,0,0,0,0,FALSE
2018-04-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,0,1,TRUE
