Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2019-10-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
2019-10-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
2019-10-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,2,TRUE
2019-10-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,4,2,TRUE
2019-10-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-10-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,3,5,TRUE
2019-10-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-10-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,5,TRUE
2019-10-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-10-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2019-10-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,3,6,TRUE
2019-10-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,4,TRUE
2019-10-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,2,TRUE
2019-10-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,5,TRUE
2019-10-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,1,TRUE
2019-10-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,2,4,TRUE
2019-10-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,0,2,3,TRUE
2019-10-30,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,0,0,2,2,6,TRUE
2019-10-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-11-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,3,TRUE
2019-11-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,3,0,0,3,TRUE
2019-11-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,4,11,TRUE
2019-11-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-11-06,Clear,Clear,Rain,Clear,NA,NA,Light,NA,0,0,0,2,2,TRUE
2019-11-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-11-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,2,2,5,TRUE
2019-11-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2019-11-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-11-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,2,2,6,TRUE
2019-11-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,6,TRUE
2019-11-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,4,TRUE
2019-11-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,3,TRUE
2019-11-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,2,0,3,TRUE
2019-11-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,0,0,1,TRUE
2019-11-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,4,TRUE
2019-11-19,Rain,Clear,Clear,Rain,Moderate,NA,NA,Moderate,3,0,4,0,4,TRUE
2019-11-20,Rain,Rain,Rain,Rain,Light,Light,Light,Light,2,0,0,0,1,TRUE
2019-11-21,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2019-11-22,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,0,2,0,1,TRUE
2019-11-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
